NOTE,PROCEDURE,MOD,PAR_AMOUNT,DESC
,99213,,190.00 ," OFFICE/OUTPATIENT VISIT, EST "
,99214,,230.00 ," OFFICE/OUTPATIENT VISIT, EST "
,99214,,269.00 ," OFFICE/OUTPATIENT VISIT, EST "
,99215,,327.00 ," OFFICE/OUTPATIENT VISIT, EST "
,99215,,454.00 ," OFFICE/OUTPATIENT VISIT, EST "
,99219,,327.00 , OBSERVATION CARE 
,99220,,540.00 , OBSERVATION CARE 
,99221,,270.00 , INITIAL HOSPITAL CARE 
,99222,,329.00 , INITIAL HOSPITAL CARE 
,99223,,465.00 , INITIAL HOSPITAL CARE 
,99224,,145.00 , SUBSEQUENT OBSERVATION CARE 
,99225,,219.00 , SUBSEQUENT OBSERVATION CARE 
,99231,,150.00 , SUBSEQUENT HOSPITAL CARE 
,99232,,201.00 , SUBSEQUENT HOSPITAL CARE 
,99233,,275.00 , SUBSEQUENT HOSPITAL CARE 
,99243,,326.00 , OFFICE CONSULTATION 
,99244,,590.00 , OFFICE CONSULTATION 
,99245,,730.00 , OFFICE CONSULTATION 
,99254,,440.00 , INPATIENT CONSULTATION 
,99255,,559.00 , INPATIENT CONSULTATION 
,99283,,358.00 , EMERGENCY DEPT VISIT 
,99284,,843.00 , EMERGENCY DEPT VISIT 
,99324,,141.00 , DOMICIL/R-HOME VISIT NEW PAT 
,99325,,265.00 , DOMICIL/R-HOME VISIT NEW PAT 
,99334,,150.00 , DOMICIL/R-HOME VISIT EST PAT 
,99335,,252.00 , DOMICIL/R-HOME VISIT EST PAT 
,99366,,175.00 , TEAM CONF W/PAT BY HC PRO 
,99422,,131.00 , Online Digital Eval 11-20 Min 
,99441,,45.00 , PHONE E/M BY PHYS 5-10 MIN 
,99442,,84.00 , PHONE E/M BY PHYS 11-20 MIN 
,99443,,120.00 , PHONE E/M BY PHYS 21-30 MIN 
,99999,,0.00 , Miscellaneous 
,99999,,25.00 , Miscellaneous 
, A4595 ,,23.00 , TENS suppl 2 lead per month 
, A5500 ,,165.00 , Diab shoe for density insert 
, A5512 ,,68.00 , Multi den insert direct form 
, A9575 ,,8.00 , Dotarem 
, A9579 ,,8.00 ," Gad-base MR contrast NOS,1ml "
, E0651 ,,"2,380.00 ", Pneum compressor segmental 
, E0656 ,,150.00 , Segmental pneumatic trunk 
, E0667 ,,839.00 , Seg pneumatic appl full leg 
, E0668 ,,973.00 , Seg pneumatic appl full arm 
, G0179 ,,75.00 , MD recertification HHA PT 
, G0180 ,,105.00 , MD certification HHA patient 
, G0283 ,,65.00 , Elec stim other than wound 
, G0413 ,,"2,935.00 ", Pelvic ring fracture uni/bil 
, G0414 ,,"2,776.00 ", Pelvic ring fx treat int fix 
, G0453 ,,240.00 , IOM Per Hour Outside Of OR 
, IME ,,0.00 , IME 
, J0585 ,,25.00 , Botulinum toxin a per unit 
, J0702 ,,21.00 , Betamethasone acet&sod phosp 
, J0717 ,,15.75 , certolizumab pegol 1 mg 
, J0735 ,,41.00 , Clonidine hydrochloride 
, J0775 ,,96.60 ," Collagenase, clost hist inj "
, J1020 ,,22.00 , Methylprednisolone 20 MG inj 
, J1030 ,,30.00 , Methylprednisolone 40 MG inj 
, J1100 ,,2.00 , Dexamethasone sodium phos 
, J1200 ,,5.00 , Diphenhydramine hcl injectio 
, J1885 ,,5.00 , Ketorolac tromethamine inj 
, J2001 ,,2.00 , Lidocaine injection 
, J2250 ,,1.00 , Inj midazolam hydrochloride 
, J2405 ,,1.00 , Ondansetron hcl injection 
, J3032 ,,21.10 , Injection Eptinezumab Jjmr 1mg 
, J3301 ,,5.00 , Triamcinolone acet inj NOS 
, J3475 ,,2.00 , Inj magnesium sulfate 
, J3490 ,,2.00 , Drugs unclassified injection 
, J7321 ,,200.00 , Hyalgan/supartz inj per dose 
, J7326 ,,"1,409.00 ", Gel-one 
, L0180 ,,"1,008.00 ", Cer post col occ/man sup adj 
, L0464 ,,"2,885.00 ", TLSO 4Mod sacro-scap pre 
, L0650 ,,"2,895.00 ", Lso sc r ant/pos pnl pre ots 
, L1686 ,,"1,870.00 ", HO post-op hip abduction 
, L1812 ,,230.00 , Ko elastic w/joints pre ots 
, L1833 ,,"1,539.00 ", Ko adj jnt pos r sup pre ots 
, L1851 ,,"2,005.00 ", KO single upright custom fit 
, L1902 ,,167.00 , Afo ankle gauntlet 
, L1907 ,,"1,258.00 ", AFO supramalleolar custom 
, L1930 ,,563.00 , Afo plastic 
, L1940 ,,"1,088.00 ", Afo molded to patient plasti 
, L1970 ,,"1,547.00 ", Afo plastic molded w/ankle j 
, L1971 ,,"1,048.00 "," AFO w/ankle joint, prefab "
, L2210 ,,141.00 , Dorsiflexion assist each joi 
, L2330 ,,821.00 , Lacer molded to patient mode 
, L2397 ,,273.00 , Suspension sleeve lower ext 
, L2820 ,,182.00 , Soft interface below knee se 
, L3000 ,,702.00 , Ft insert ucb berkeley shell 
, L3650 ,,147.00 , Shlder fig 8 abduct restrain 
, L3760 ,,"1,017.00 "," EO withjoint, Prefabricated "
, L3806 ,,924.00 , WHFO w/joint(s) custom fab 
, L3807 ,,509.00 ," WHFO,no joint, prefabricated "
, L3808 ,,725.00 ," WHFO, rigid w/o joints "
, L3809 ,,509.00 , Whfo w/o joints pre ots 
, L3906 ,,"1,031.00 ", WHO w/o joints CF 
, L3908 ,,150.00 , Wrist cock-up non-molded 
, L3913 ,,551.00 , HFO w/o joints CF 
, L3916 ,,970.00 , Whfo wrist extens w/ outrigg 
, L3924 ,,197.00 , Oppenheimer 
, L3925 ,,134.00 , FO pip/dip with joint/spring 
, L3933 ,,434.00 , FO w/o joints CF 
, L3960 ,,"1,622.00 ", Sewho airplan desig abdu pos 
, L3980 ,,787.00 , Upp ext fx orthosis humeral 
, L3982 ,,799.00 , Upper ext fx orthosis rad/ul 
, L3995 ,,75.00 , Sock fracture or equal each 
, L4350 ,,217.00 , Ankle control orthosi prefab 
, L4361 ,,495.00 , Pneuma/vac walk boot pre ots 
, L4387 ,,200.00 , Non-pneum walk boot pre ots 
, L4396 ,,500.00 , Static AFO 
, Medrec ,,0.00 , Medical Records 
, MISC ,,0.00 , Misc 
, Misc ,,75.00 , Misc 
, NC ,,0.00 , No Charge 
, NDC ,,2.99 , Pharmacy 
, NDC ,,4.71 , Pharmacy 
, NDC ,,5.79 , Pharmacy 
, NDC ,,11.49 , Pharmacy 
, NDC ,,2.85 , Pharmacy 
, NDC ,,3.04 , Pharmacy 
, NDC ,,26.75 , Pharmacy 
, NDC ,,53.06 , Pharmacy 
, NDC ,,1.72 , Pharmacy 
, NDC ,,2.11 , Pharmacy 
, NDC ,,3.15 , Pharmacy 
, NDC ,,7.69 , Pharmacy 
, NDC ,,10.81 , Pharmacy 
, NDC ,,10.98 , Pharmacy 
, NDC ,,41.98 , Pharmacy 
, NDC ,,3.05 , Pharmacy 
, NDC ,,3.24 , Pharmacy 
, NDC ,,7.79 , Pharmacy 
, NDC ,,2.33 , Pharmacy 
, NDC ,,2.66 , Pharmacy 
, NDC ,,3.32 , Pharmacy 
, NDC ,,3.29 , Pharmacy 
, NDC ,,4.08 , Pharmacy 
, NDC ,,4.65 , Pharmacy 
, NDC ,,11.80 , Pharmacy 
, NDC ,,8.85 , Pharmacy 
, NDC ,,11.45 , Pharmacy 
, Q4006 ,,45.00 , Cast sup long arm adult fbrg 
, Q4008 ,,35.00 , Cast sup long arm ped fbrgls 
, Q4010 ,,35.00 , Cast sup sht arm adult fbrgl 
, Q4012 ,,24.00 , Cast sup sht arm ped fbrglas 
, Q4017 ,,30.00 , Cast sup lng arm splint plst 
, Q4018 ,,0.00 , Cast sup lng arm splint fbrg 
, Q4020 ,,35.00 , Cast sup lng arm splnt ped f 
, Q4022 ,,35.00 , Cast sup sht arm splint fbrg 
, Q4024 ,,0.00 , Cast sup sht arm splnt ped f 
, Q4030 ,,95.00 , Cast sup long leg fiberglass 
, Q4032 ,,70.00 , Cast sup lng leg ped fbrgls 
, Q4038 ,,55.00 , Cast sup shrt leg fiberglass 
, Q4040 ,,35.00 , Cast sup shrt leg ped fbrgls 
, Q4046 ,,35.00 , Cast sup sht leg splnt fbrgl 
, Q9965 ,,30.00 ," LOCM 100-199mg/ml iodine,1ml "
, Q9967 ,,20.00 ," LOCM 300-399mg/ml iodine,1ml "
, RN001 ,,150.00 , Nurse Case Manager 
, S0630 ,,80.00 , Removal of sutures 
, S8130 ,,"2,150.00 ", Interferential stim 2 chan 
, WC700 ,,5.00 , Pharmacy Dispensing Fee 
, WO ,,0.00 , Walk Out 
